sentence 	 label
kabul, afghanistan (reuters) - three americans standing  trial in afghanistan monday for imprisoning and torturing  afghans were given a week to provide evidence, which they say  was withheld by u.s. authorities, proving that they had  official clearance . 	0
ap - a short walk around the california campus this summer was all geoff mcarthur needed as proof of how much golden bears football has changed since his freshman year. a program that won only one game in 2001 and has the longest rose bowl drought of any big ten or pac-10 team is finally getting noticed at a school more known for its protests than its passing . 	1
dubai (reuters) - suspected militants have kidnapped an  iraqi intelligence officer in response to the fighting in the  holy city of najaf, al jazeera television reported on tuesday . 	0
ethiopia's haile gebrselassie could miss the olympic 10,000m because of an achilles injury . 	0
ap - google inc.'s stock market debut appeared to be on track for later this week after the internet search company asked regulators to give final approval of the paperwork required for the sale . 	3
ap - jury selection began monday for a haitian paramilitary leader convicted in absentia of killing a businessman and ordering a massacre in the early 1990s but is facing the charges again after returning to lead a revolt against president jean-bertrand aristide . 	0
"chicago/san francisco (reuters) - options traders have been  building bullish positions in peoplesoft inc.  &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=psft.o target=/stocks/quickinfo/fullquote""&gt;psft.o&lt;/a&gt; as  investors bet a federal judge will approve oracle corp.'s  hostile takeover bid of the business software maker, traders  said on monday . "	2
"chicago (reuters) - krispy kreme doughnuts inc.  &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=kkd.n target=/stocks/quickinfo/fullquote""&gt;kkd.n&lt;/a&gt;  said on monday that its chief operating officer is leaving the  company for another job, the latest setback for a company that  is trying to recover from sluggish sales and an accounting  probe . "	2
athens (reuters) - to prepare for the olympics, kerri  pottharst practiced serving with her team mate screaming in her  ear . 	1
canadian press - london (ap) - heavy rain caused flash floods in seaside communities in southwestern england on monday, and dozens of people were rescued from cars, trees and rooftops by emergency helicopters and lifeboats, officials said . 	0
3com enters into the wireless switch market through a partnership with start-up trapeze networks . 	3
ap - archaeologists think they've found a cave where john the baptist baptized many of his followers  #151; basing their theory on thousands of shards from ritual jugs, a stone used for foot cleansing and wall carvings telling the story of the biblical preacher . 	3
"google inc.'s initial public offering took a major step forward as the company notified investors that tuesday may be their last chance to submit, withdraw or change bids in the unusual \$3 billion electronic auction for stock in the internet giant. &lt;font face=""verdana,ms sans serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;b&gt;-the washington post&lt;/b&gt;&lt;/font&gt; "	3
despite an increase in revenue, mantech international corp. swung to a loss during its second quarter when a contract to conduct background investigations for the department of defense turned out to be far less lucrative than previously expected . 	3
here in the gion geisha district of japan's ancient capital, even one bad hair day can cost a girl her career. so it is no wonder that tetsuo ishihara is the man with the most popular hands in town . 	0
city workers distributed water in tank trucks monday and urged about 1.4 million residents of the cuban capital who had no running water to remain calm, four days after hurricane charley roared through the area . 	0
cornerback walt harris suits up for his first full practice as a redskin on monday after missing minicamp and the first two weeks of training camp . 	1
maccentral - realnetworks will tout its new windows-only harmony technology, which allows files from its music store to be played on apple's ipod, in a series of print, radio and online advertising, the company said in a statement on tuesday. in addition, real will hold what it calls the biggest music sale in history selling songs for us #36;0.49 and albums for  #36;4.99 . 	3
microsoft corp. has put the finishing touches on one of its biggest software overhauls ever after conceding that its windows xp operating system -- which runs as many as 300 million computers worldwide -- is susceptible to security breaches . 	2
new york -- northeast utilities , uil holdings corp. , and new england's grid operator have proposed changes to a planned power line in southwest connecticut that would increase costs by more than 40 percent . 	2
there are games in which players renew their vows as teammates, and last night's 8-4 victory over the toronto blue jays was one of them. it may not have been as clear as it was in the yankee-red sox brawl game back in late july, which produced an obvious bond . 	1
ap - stung by criticism about its role in fighting terrorism, saudi arabia has launched a radio advertising campaign in 19 u.s. cities citing the sept. 11 commission report as proof that it has been a loyal ally in the fight against al-qaida . 	0
kathmandu (reuters) - nepal put its security forces on  alert on tuesday to counter a threat by maoist guerrillas to  blockade the capital, as tourists moved out of a luxury hotel  after a bomb blast blamed on the rebels . 	0
ap - the israeli government on tuesday invited construction bids for 1,001 new homes in jewish settlements in the west bank, an official said, in direct violation of a u.s.-backed peace plan calling for a settlement freeze . 	0
ap - daryle ward, albert pujols and chipper jones had big nights at the plate at the expense of national league pitchers . 	1
afp - surging oil prices could moderate china's economy this year as rising costs push inflation higher, hitting corporate profits and consumer pocket books, analysts and state press said . 	0
ap - twenty years later, the boys are back on the medal stand . 	1
"chicago (reuters) - cosmetics manufacturer estee lauder  cos. inc. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=el.n target=/stocks/quickinfo/fullquote""&gt;el.n&lt;/a&gt; on tuesday posted a bigger quarterly profit,  bolstered by sales in europe and an improving u.s. retail  market . "	2
pc world - tiny 802.11b adapter will work with zire 72, tungsten t3 handhelds . 	3
afp - a tiny french village in brittany -- the self proclaimed capital of twin-dom -- has played host to an international gathering of thousands of identical twins, triplets and quadruplets . 	0
punta gorda, fla. - about 790,000 people remain without power in florida in the aftermath of hurricane charley, and officials estimate it could take weeks to get electricity fully restored.. . 	0
afp - rescue workers combed a coastal village in north cornwall for missing persons after a flash flood sent a wall of water tearing through the picturesque tourist spot the day before . 	0
"chicago (reuters) - deere   co. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=de.n target=/stocks/quickinfo/fullquote""&gt;de.n&lt;/a&gt;, one of the world's  largest farm equipment makers, on tuesday said quarterly  earnings jumped sharply, driven in part by strength in its  agricultural and construction equipment businesses . "	2
new york (reuters) - time is running out for prospective  investors to submit their offers to buy shares of google inc,  the web's no. 1 search company . 	2
new york (reuters) - u.s. stocks opened higher on tuesday  after two separate reports showed inflationary pressure was  held in check in july and u.s. housing starts rebounded sharply  in the same month . 	2
by matthew fordahl    san francisco (ap) -- in another product postponement, semiconductor giant intel corp. (intc) said it won't be offering a chip for projection tvs by the end of 2004 as it had announced earlier this year.. . 	3
new york (reuters) - the dollar posted gains against the  euro on tuesday, digesting a slew of u.s. economic data that  failed to substantially alter expectations for federal reserve  interest rate hikes . 	2
islamabad (reuters) - the father of a computer engineer  detained in pakistan last month for suspected links with al  qaeda filed a petition tuesday calling for his son to be  produced in court and urging authorities not to extradite him . 	0
singapore real estate investment trusts such as capitamall trust may outperform the market this year as acquisitions of shopping malls and industrial buildings bolster rental income . 	2
"cap de bon dsir, quebec a few miles from this spit along the pink granite coast of the gulf of st. lawrence, there is a sheltered cove that has witnessed the full span of the human relationship with whales. &lt;br&gt;&lt;a href=""/url?ntc=04sg1 q=http://www.ajc.com/news/content/news/science/0804/17whales.html""&gt;save the whales! then what?&lt;/a&gt; &lt;font class=f&gt;atlanta nbsp;journal nbsp;constitution nbsp;(subscription)&lt;/font&gt; "	3
if you own a zire 72 or tungsten t3 and have been longing for better wireless connectivity than their built-in bluetooth, help is on the way: palmone has announced a wi-fi sd card for those handhelds . 	3
more than one-fifth of us science and engineering workers do not have a bachelor #39;s degree, according to a new report from the national science foundation . 	3
houston - marine researchers are hoping to prevent tides of destructive algae from killing fish and fouling beaches through early detection of the microscopic organisms . 	3
the soft orange glow of a common caribbean coral comes not from the coral itself but from bacteria that live inside it, us scientists said last week. and the bacteria not only give the coral a little night light, but they also break down seawater to help .. . 	3
islamabad, pakistan -- a senior al qaeda operative captured in britain this month had traveled in march to a militant hideout near the pakistan-afghan border and met with other terror suspects, .. . 	0
operating systems just ain #39;t what they used to be. for a while, microsoft released a new version of windows every two or three yearseach creating a ripple effect on how we all used and thought about technology. but now, there #39;s a .. . 	3
mark colvin: the opposition leader, mark latham, has challenged the prime minister to remove the gag that #39;s prevented senior government advisers, including those in the pm #39;s office, from talking about what happened in the  #39;children overboard #39; affair . 	0
reuters - britain charged eight men on tuesday\with conspiracy to murder and other terrorism charges, some\relating to plans for u.s. buildings such as the new york stock\exchange that were the subject of terrorism alerts this month . 	0
"atlanta (reuters) - home depot inc. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=hd.n target=/stocks/quickinfo/fullquote""&gt;hd.n&lt;/a&gt; on tuesday  reported a 19 percent rise in second-quarter profit, topping  estimates, as store renovations and efforts to improve service  drove higher average sales in every category . "	2
legg mason's mary chris gay knows when to pay for growth and when to sell a stock . 	2
manila, philippines - filipino and british wildlife researchers say they #39;ve stumbled upon what appears to be a new species of flightless bird found only on the tiny forested island of calayan in the northern .. . 	3
jerusalem (reuters) - prime minister ariel sharon has approved tenders to build 1,000 more israeli settler homes in the occupied west bank, plans that had been shelved earlier to avoid discord with washington, political sources say . 	0
symantec has unveiled new versions of its norton security products--beefing up some of the real-time and automated features--and will release them in the next few weeks . 	3
afp - the airline swiss said it had managed to cut its first-half net loss by about 90 percent but warned that spiralling fuel costs were hampering a turnaround despite increasing passenger travel . 	0
birmingham, ala. (ap) -- fired healthsouth chief executive richard scrushy will go on trial january 5th . 	2
venezuelan leader hugo chavez rounds on opponents for alleging fraud in a referendum he seems to have won . 	0
new york (reuters) - department store operator jc penney co. inc. (jcp.n: quote, profile, research) on tuesday posted a quarterly operating profit, reversing a year-earlier loss, on inventory controls and strong sales of jeans, home furnishings and career .. . 	2
toronto - shares of nortel networks dipped on the tsx in the wake of news the rcmp has launched an investigation into accounting practices at the telecommunications company . 	2
phoenix (ticker) -- jack wilson lofted a sacrifice fly in the top of the 10th inning to lift the pittsburgh pirates to a wild 8-7 victory over the arizona diamondbacks. in the 10th, jose castillo drew leadoff walk against greg aquino (0-1) and stole .. . 	1
kabul - a bounty hunter accused of running a private torture chamber has gone on trial in kabul claiming he could not get a fair hearing because the fbi had confiscated vital evidence and locked it in the american embassy . 	0
halliburton (hal:nyse - news - research) sank tuesday after the army chose not to extend a deadline for the company to explain its billing in iraq . 	2
baghdad, iraq  one us soldier was killed and several others were wounded in clashes with iraqi shi #39;ite militiamen in a baghdad suburb monday, the us military said tuesday . 	0
afp - the us military denied reports that the coalition in afghanistan had launched air strikes to quell fighting in the west of the country . 	0
hite plains, aug. 16 - a 16-year veteran of the new york police department, who supposedly called himself a  quot;boy hunter #39; #39; in an online profile, was arrested on monday after the westchester district attorney, jeanine pirro, said he tried to .. . 	3
ashburn, va (sports network) - the washington redskins have released safety ifeanyi ohalete, a starter for 15 games last season . 	1
iran #39;s transparent decision to boycott head-to-head competitions against israeli athletes is an assault on the olympic ideal. it needs to be dealt with swiftly and sternly. instead, the international judo federation could not find enough executive members .. . 	1
los angeles -- everywhere you looked before monday night #39;s game at dodger stadium, there he was. paul lo duca, the thirtysomething mother of two. paul lo duca, the dude with the thick beard and the backward dodgers cap. paul lo duca, the guy with the beer .. . 	1
new york (reuters) - time is running out for prospective investors to submit their offers to buy shares of google inc. (goog.o: quote, profile, research) , the web #39;s no. 1 search company . 	2
new york (ap) - a drop in consumer prices and a decline in crude oil futures tuesday allowed investors to put aside worries about inflation, at least for the short term, and they sent stocks modestly higher . 	2
with a bandanna on his head and a grin on his cheeks, italy #39;s flamboyant premier silvio berlusconi has been playing vacation host to britain #39;s tony blair in sardinia, an unlikely holiday coupling that highlights an italian-british alliance .. . 	0
chicago (reuters) - illinois residents will soon be able to  buy lower-cost prescription drugs from canada, the united  kingdom and ireland, sidestepping u.s. regulators' objections  to imported drugs, gov. rod blagojevich said on tuesday . 	2
afp - india is projected to outpace china and become the world's most populous country by 2050, growing by 50 percent in the next 46 years to reach more than 1.6 billion people, a us research institute said . 	0
chicago - motorola inc. and hewlett-packard co. on monday said they agreed to an expanded deal to help mobile telephone service providers use linux-based computers to run their core network systems . 	3
athens : world no 1 roger federer of switzerland crashed out of the olympic tennis tournament when he lost to unseeded tomas berdych of the czech republic . 	1
birdman of belair mathew tekulsky waxes on the serendipitous moments when birds and timing alight together for memorable photographs . 	3
ap - the united states withheld judgment tuesday on whether israel's plans to build 1,000 new homes in jewish settlements in the west bank violate the u.s-led middle east peace plan . 	0
london (reuters) - oil prices rose to another record high  on tuesday on u.s. economic data showing inflationary pressure  was held in check in july and ahead of weekly inventory data on  wednesday expected to show a decline in crude stocks . 	2
scientists are planning to take the pulse of the planet -- and more -- in an effort to improve weather forecasts, predict energy needs months in advance, anticipate disease outbreaks and even tell fishermen where the catch will be abundant . 	3
fedex kinko #39;s tuesday rolled out free software that connects windows users to the firm #39;s print centers for ordering printing, binding, and shipping services . 	3
chicago - ignoring a federal ban on prescription drug imports, illinois' governor announced tuesday that the state would have an online clearinghouse running within a month to help residents purchase drugs from canada, ireland and the united kingdom.    the state won't import the drugs itself, but plans to contract with a canadian company to connect state residents with foreign pharmacies that have been approved by state health inspectors.. . 	0
"london - british police charged eight terrorist suspects tuesday of conspiring to commit murder and use radioactive materials, toxic gases, chemicals or explosives to cause ""fear or injury"" in a case involving an alleged top al-qaida operative at the center of a u.s. terror alert this month.. . "	0
microsoft (quote, chart) is ready to ship host integration server 2004, offering a windows interface to mainframes and legacy applications . 	3
ap - robert porcher knows his nfl career is heading toward the end . 	1
a consortium of companies collaborating under the moniker  quot;wwise quot; today announced their intended submission of a complete joint proposal to the ieee 802.11 task group n (tgn), which is chartered with developing a next-generation .. . 	3
washington: abu musa al-hindi, one of the principle terror suspects charged with plotting to attack us financial institutions, has been identified as india-born dhiren barot. british police on tuesday charged barot, 32, of gathering surveillance plans of .. . 	0
the newest edition of host integration server, which replaces the 2000 version, is designed to make it easier for users to link windows systems with ibm mainframes and midrange iseries servers . 	3
analysts from prudential equity group and ubs are warning that delayed shipments of g5 chips from ibm could affect apple computer's bottom line 	3
for three weeks, it will sell songs for 49 cents and albums for \$4.99--a move that could spark a price war . 	3
london  british police said today they believed no one had died in flash flooding that struck seaside communities in southwest england, but rescue operations were continuing . 	0
washington - japan, germany and many other large industrialized countries face long-term population slowdowns or declines as more young adults have fewer children or delay child-rearing, demographers say.    while the world's population is expected to increase by almost 50 percent by 2050, japan could lose 20 percent of its population over the next half-century, according to data released tuesday by the private population reference bureau.. . 	0
athens, aug. 16 (xinhuanet) -- world championships third-placers japan took a sweet revenge on monday to claim the men #39;s gymnasticsteam title at the athens olympics with a total score of 173.821 points . 	1
